date,firstname,lastname,flyinghours,numberofpassengers,ticketsold,seatsvacant,delaystatus,flightsource,flightdestination
1990-02-08,michelle,salazar,5,235,176,59,on-time,ccu,goi
1990-02-09,gary,robinson,7,98,42,56,delayed,amd,maa
1990-02-10,matthew,mcbride,7,155,89,66,delayed,bom,del
1990-02-11,anthony,mckee,7,236,116,120,delayed,ccu,hyd
1990-02-12,jennifer,james,5,187,144,43,delayed,amd,blr
1990-02-13,lisa,clark,6,168,93,75,delayed,cok,trv
1990-02-14,jeanne,haynes,4,62,30,32,delayed,ccu,blr
1990-02-15,david,morales,7,174,153,21,delayed,amd,del
1990-02-16,joseph,marsh,5,147,30,117,on-time,hyd,goi
1990-02-17,shelly,jones,6,158,154,4,delayed,ccu,maa
1990-02-18,michelle,torres,5,297,59,238,delayed,maa,del
1990-02-19,jennifer,boyd,4,199,152,47,delayed,del,trv
1990-02-20,melissa,king,4,267,77,190,delayed,trv,bom
1990-02-21,riley,turner,9,270,90,180,on-time,bom,hyd
1990-02-22,melissa,rice,8,202,40,162,delayed,amd,trv
1990-02-23,michael,bowers,6,289,163,126,delayed,maa,ccu
1990-02-24,jennifer,petersen,6,151,46,105,on-time,cok,maa
1990-02-25,andrew,watts,4,52,44,8,delayed,bom,trv
1990-02-26,laura,richards,5,179,97,82,delayed,maa,bom
1990-02-27,brandon,rodriguez,5,144,66,78,delayed,cok,trv
1990-02-28,bryan,soto,9,127,108,19,delayed,goi,hyd
1990-03-01,lori,allen,9,76,38,38,on-time,bom,blr
1990-03-02,philip,morgan,9,191,69,122,on-time,hyd,ccu
1990-03-03,katelyn,marks,9,137,56,81,on-time,goi,cok
1990-03-04,mitchell,kennedy,6,281,262,19,delayed,bom,cok
1990-03-05,ryan,solomon,6,61,30,31,on-time,blr,maa
1990-03-06,joseph,mcmillan,5,239,143,96,on-time,goi,del
1990-03-07,samuel,long,4,69,39,30,delayed,maa,trv
1990-03-08,phillip,norris,5,160,62,98,delayed,hyd,amd
1990-03-09,christopher,anderson,4,280,121,159,delayed,ccu,bom
1990-03-10,brooke,lamb,6,249,173,76,on-time,trv,blr
1990-03-11,john,long,5,271,71,200,delayed,amd,del
1990-03-12,ronald,schroeder,5,238,115,123,on-time,ccu,maa
1990-03-13,kathleen,larson,5,251,209,42,delayed,amd,del
1990-03-14,timothy,cooper,7,106,55,51,on-time,maa,hyd
1990-03-15,robert,jones,5,107,33,74,delayed,amd,maa
1990-03-16,stephanie,welch,6,271,47,224,on-time,maa,trv
1990-03-17,amanda,smith,7,223,167,56,on-time,del,blr
1990-03-18,erica,bush,6,95,63,32,delayed,bom,cok
1990-03-19,kevin,shelton,6,236,231,5,on-time,amd,trv
1990-03-20,stephen,rogers,4,148,145,3,delayed,hyd,del
1990-03-21,richard,clark,9,161,30,131,delayed,maa,cok
1990-03-22,maureen,hutchinson,4,292,199,93,on-time,bom,maa
1990-03-23,brian,myers,8,129,115,14,on-time,maa,cok
1990-03-24,amanda,richard,9,125,100,25,delayed,ccu,cok
1990-03-25,melissa,reed,9,290,224,66,delayed,trv,hyd
1990-03-26,cheryl,brooks,7,190,30,160,on-time,hyd,ccu
1990-03-27,jeffrey,brown,7,251,178,73,on-time,cok,goi
1990-03-28,michael,murphy,7,222,84,138,on-time,blr,bom
1990-03-29,lisa,scott,6,181,115,66,delayed,ccu,maa
1990-03-30,jesse,butler,5,256,80,176,delayed,del,bom
1990-03-31,paige,ferguson,5,171,48,123,on-time,amd,ccu
1990-04-01,leslie,simmons,9,228,128,100,on-time,amd,ccu
1990-04-02,max,smith,5,217,206,11,delayed,bom,cok
1990-04-03,tanya,brennan,5,95,89,6,delayed,goi,ccu
1990-04-04,ashley,odom,4,166,64,102,on-time,goi,trv
1990-04-05,patrick,duffy,8,131,126,5,on-time,trv,goi
1990-04-06,susan,delacruz,7,262,262,0,on-time,blr,goi
1990-04-07,charles,greer,7,116,61,55,on-time,goi,cok
1990-04-08,benjamin,gardner,9,111,65,46,on-time,bom,maa
1990-04-09,joseph,miller,5,119,72,47,on-time,goi,bom
1990-04-10,jeff,rojas,5,88,44,44,on-time,blr,hyd
1990-04-11,jeremy,palmer,4,156,82,74,on-time,goi,cok
1990-04-12,mary,clark,7,65,43,22,on-time,amd,del
1990-04-13,joseph,riddle,8,147,91,56,delayed,maa,hyd
1990-04-14,christopher,lam,7,268,258,10,on-time,goi,trv
1990-04-15,nancy,delgado,8,279,86,193,on-time,ccu,maa
1990-04-16,andrea,macdonald,7,174,37,137,on-time,maa,cok
1990-04-17,richard,lynch,9,92,83,9,on-time,blr,trv
1990-04-18,kristina,smith,4,282,130,152,delayed,bom,cok
1990-04-19,lori,fuller,5,271,148,123,delayed,del,maa
1990-04-20,emily,parrish,7,133,57,76,on-time,maa,amd
1990-04-21,sarah,thompson,7,121,83,38,on-time,bom,goi
1990-04-22,crystal,bryant,4,241,168,73,delayed,maa,ccu
1990-04-23,sheila,riddle,9,67,32,35,delayed,ccu,hyd
1990-04-24,allison,jenkins,4,209,69,140,delayed,blr,goi
1990-04-25,sharon,jones,9,79,66,13,delayed,cok,hyd
1990-04-26,heather,dunn,6,92,68,24,delayed,blr,maa
1990-04-27,scott,contreras,4,198,36,162,on-time,trv,amd
1990-04-28,caleb,sanchez,7,291,131,160,delayed,trv,ccu
1990-04-29,stephanie,harrell,4,228,227,1,on-time,trv,bom
1990-04-30,kevin,johnston,8,250,40,210,on-time,goi,amd
1990-05-01,ashley,herrera,9,144,38,106,on-time,del,cok
1990-05-02,allison,allen,7,77,57,20,on-time,cok,blr
1990-05-03,robert,jacobs,7,95,64,31,on-time,cok,amd
1990-05-04,antonio,moore,9,201,98,103,on-time,ccu,bom
1990-05-05,brooke,davis,6,275,145,130,delayed,cok,amd
1990-05-06,christian,rowe,6,57,45,12,on-time,blr,goi
1990-05-07,donald,irwin,5,140,132,8,on-time,maa,hyd
1990-05-08,daniel,smith,8,229,100,129,delayed,goi,ccu
1990-05-09,kimberly,williams,4,111,82,29,on-time,goi,ccu
1990-05-10,lori,rice,9,171,155,16,on-time,del,blr
1990-05-11,robert,logan,6,106,81,25,delayed,hyd,amd
1990-05-12,anne,obrien,7,191,165,26,on-time,amd,trv
1990-05-13,robert,hebert,6,140,119,21,on-time,hyd,maa
1990-05-14,victor,mason,6,109,45,64,delayed,maa,bom
1990-05-15,sydney,perez,9,187,77,110,delayed,ccu,goi
1990-05-16,sabrina,cooper,6,235,180,55,on-time,bom,hyd
1990-05-17,sean,mcclure,6,108,76,32,delayed,hyd,del
1990-05-18,amy,shields,9,186,62,124,on-time,del,bom
1990-05-19,shannon,lyons,8,124,119,5,delayed,cok,bom
1990-05-20,melissa,powell,4,196,102,94,on-time,cok,goi
1990-05-21,lindsey,young,6,97,36,61,on-time,cok,bom
1990-05-22,mark,miller,4,152,92,60,delayed,trv,del
1990-05-23,larry,carter,5,88,81,7,on-time,bom,hyd
1990-05-24,steven,turner,4,192,136,56,delayed,goi,amd
1990-05-25,kimberly,thomas,7,282,143,139,on-time,trv,amd
1990-05-26,rhonda,clark,6,195,188,7,delayed,trv,bom
1990-05-27,joseph,beasley,5,210,84,126,on-time,bom,ccu
1990-05-28,tamara,wells,5,94,39,55,delayed,del,cok
1990-05-29,patricia,howell,7,226,182,44,on-time,hyd,del
1990-05-30,wanda,cordova,5,123,120,3,on-time,cok,bom
1990-05-31,barbara,herrera,9,109,63,46,delayed,amd,bom
1990-06-01,pamela,carroll,8,107,49,58,on-time,blr,bom
1990-06-02,nicole,holmes,4,92,80,12,on-time,trv,hyd
1990-06-03,michael,palmer,7,81,59,22,on-time,amd,hyd
1990-06-04,michelle,mccoy,8,188,156,32,on-time,bom,del
1990-06-05,shawn,clark,7,238,112,126,on-time,del,blr
1990-06-06,jamie,day,5,296,40,256,on-time,trv,del
1990-06-07,michael,conley,5,170,162,8,on-time,hyd,blr
1990-06-08,james,thomas,8,161,155,6,delayed,cok,maa
1990-06-09,chelsea,nelson,7,135,71,64,delayed,blr,amd
1990-06-10,nicholas,smith,7,227,156,71,on-time,amd,trv
1990-06-11,melanie,vincent,4,166,52,114,on-time,hyd,amd
1990-06-12,robert,rogers,4,298,236,62,delayed,goi,cok
1990-06-13,martha,liu,7,63,42,21,on-time,trv,cok
1990-06-14,mary,long,9,163,43,120,delayed,hyd,trv
1990-06-15,kristy,ford,5,287,177,110,on-time,cok,bom
1990-06-16,kayla,anderson,4,299,152,147,delayed,hyd,trv
1990-06-17,taylor,lewis,4,191,134,57,delayed,ccu,bom
1990-06-18,tracy,kennedy,7,292,90,202,delayed,cok,hyd
1990-06-19,haley,love,8,230,99,131,on-time,cok,goi
1990-06-20,bruce,barber,5,166,67,99,on-time,ccu,trv
1990-06-21,brenda,diaz,9,275,64,211,delayed,hyd,cok
1990-06-22,dawn,parker,6,289,289,0,on-time,del,maa
1990-06-23,michael,bridges,9,126,105,21,on-time,blr,goi
1990-06-24,kathryn,andrade,8,173,118,55,on-time,goi,trv
1990-06-25,amanda,hill,7,166,112,54,delayed,ccu,cok
1990-06-26,joseph,chavez,5,269,228,41,on-time,del,amd
1990-06-27,noah,moreno,9,171,127,44,on-time,blr,goi
1990-06-28,stephanie,moran,4,82,62,20,on-time,bom,goi
1990-06-29,anna,stone,4,184,146,38,delayed,blr,cok
1990-06-30,zachary,thomas,9,298,109,189,delayed,cok,hyd
1990-07-01,deanna,garcia,6,209,207,2,on-time,bom,amd
1990-07-02,alexis,robinson,9,269,166,103,on-time,maa,goi
1990-07-03,dwayne,wagner,8,59,49,10,delayed,ccu,maa
1990-07-04,david,barnes,5,241,53,188,on-time,bom,blr
1990-07-05,juan,phelps,7,92,74,18,on-time,del,bom
1990-07-06,michael,campos,6,253,44,209,on-time,maa,amd
1990-07-07,kimberly,romero,7,87,45,42,on-time,trv,blr
1990-07-08,david,graves,5,94,40,54,on-time,trv,ccu
1990-07-09,caleb,miller,7,283,179,104,delayed,ccu,goi
1990-07-10,sheri,williams,9,115,88,27,on-time,del,goi
1990-07-11,guy,stone,6,223,169,54,delayed,bom,goi
1990-07-12,anthony,aguilar,6,200,106,94,on-time,hyd,goi
1990-07-13,michael,osborne,6,100,79,21,on-time,bom,hyd
1990-07-14,olivia,hines,7,196,121,75,on-time,hyd,del
1990-07-15,robert,hunt,9,151,65,86,delayed,trv,del
1990-07-16,jessica,guerrero,8,240,157,83,on-time,ccu,amd
1990-07-17,kevin,walton,5,212,78,134,on-time,blr,bom
1990-07-18,elizabeth,stewart,9,215,40,175,on-time,cok,del
1990-07-19,james,contreras,8,143,123,20,delayed,bom,maa
1990-07-20,roger,taylor,6,241,136,105,delayed,ccu,blr
1990-07-21,rachel,garcia,8,274,123,151,on-time,blr,maa
1990-07-22,elizabeth,moore,7,297,181,116,on-time,bom,goi
1990-07-23,katherine,dillon,4,86,78,8,delayed,amd,trv
1990-07-24,matthew,jackson,6,73,55,18,delayed,hyd,trv
1990-07-25,benjamin,cunningham,4,166,124,42,on-time,trv,amd
1990-07-26,william,booker,9,290,220,70,delayed,ccu,goi
1990-07-27,nancy,frey,4,208,173,35,on-time,trv,ccu
1990-07-28,kelly,edwards,9,66,59,7,on-time,amd,bom
1990-07-29,julie,madden,5,61,32,29,on-time,cok,bom
1990-07-30,alexandra,simmons,4,110,98,12,delayed,amd,goi
1990-07-31,kristen,munoz,6,221,220,1,on-time,trv,blr
1990-08-01,matthew,patel,7,217,55,162,on-time,trv,amd
1990-08-02,wayne,gonzalez,6,58,52,6,on-time,ccu,goi
1990-08-03,travis,wright,7,293,150,143,on-time,bom,amd
1990-08-04,donna,garcia,8,280,280,0,on-time,del,cok
1990-08-05,james,fisher,6,98,45,53,on-time,bom,hyd
1990-08-06,sharon,evans,9,213,182,31,delayed,del,amd
1990-08-07,travis,tran,5,82,80,2,delayed,bom,trv
1990-08-08,cody,ayers,5,200,85,115,delayed,maa,blr
1990-08-09,carla,zavala,8,50,38,12,delayed,blr,trv
1990-08-10,sandra,lee,6,254,74,180,delayed,del,ccu
1990-08-11,robert,clark,4,141,131,10,delayed,trv,maa
1990-08-12,jackie,martin,4,94,63,31,delayed,blr,cok
1990-08-13,cynthia,brown,8,79,77,2,delayed,cok,goi
1990-08-14,richard,benjamin,6,181,181,0,delayed,cok,trv
1990-08-15,danielle,mueller,5,292,52,240,on-time,cok,del
1990-08-16,angela,schmidt,4,172,132,40,on-time,bom,goi
1990-08-17,marcus,collins,9,282,143,139,delayed,bom,amd
1990-08-18,jason,gilbert,8,87,34,53,delayed,hyd,trv
1990-08-19,leslie,white,9,133,78,55,on-time,cok,trv
1990-08-20,laura,smith,8,160,55,105,delayed,goi,ccu
1990-08-21,luke,benitez,7,165,88,77,on-time,maa,goi
1990-08-22,richard,casey,7,156,123,33,delayed,maa,cok
1990-08-23,heidi,roy,6,220,95,125,on-time,blr,goi
1990-08-24,ethan,boone,4,73,35,38,delayed,amd,bom
1990-08-25,george,hurst,9,239,125,114,delayed,goi,del
1990-08-26,blake,page,8,294,198,96,delayed,amd,maa
1990-08-27,ann,smith,9,290,246,44,delayed,hyd,maa
1990-08-28,christopher,lopez,6,76,66,10,delayed,blr,goi
1990-08-29,brandon,bradley,5,266,57,209,on-time,goi,maa
1990-08-30,tina,spears,4,245,101,144,delayed,amd,trv
1990-08-31,jeffrey,riddle,8,207,202,5,delayed,trv,hyd
1990-09-01,gloria,cox,4,96,64,32,on-time,maa,amd
1990-09-02,cheryl,ward,4,96,48,48,on-time,bom,ccu
1990-09-03,samantha,fernandez,9,212,37,175,delayed,goi,ccu
1990-09-04,david,mitchell,7,157,146,11,on-time,blr,amd
1990-09-05,jamie,lopez,6,234,113,121,delayed,del,ccu
1990-09-06,kyle,juarez,5,243,188,55,delayed,bom,maa
1990-09-07,destiny,harper,7,219,138,81,on-time,trv,cok
1990-09-08,pamela,mejia,7,119,57,62,delayed,maa,cok
1990-09-09,morgan,johnson,4,122,116,6,on-time,goi,hyd
1990-09-10,david,david,4,106,80,26,delayed,del,hyd
1990-09-11,charlene,lee,6,292,138,154,delayed,hyd,maa
1990-09-12,gregory,green,6,80,30,50,on-time,amd,blr
1990-09-13,cynthia,moreno,5,147,98,49,delayed,goi,trv
1990-09-14,carolyn,smith,9,256,120,136,delayed,amd,del
1990-09-15,angela,ward,7,54,44,10,delayed,maa,cok
1990-09-16,carrie,black,8,153,120,33,on-time,hyd,bom
1990-09-17,megan,houston,7,55,40,15,delayed,trv,cok
1990-09-18,teresa,newton,9,285,215,70,delayed,amd,bom
1990-09-19,ralph,howe,5,161,132,29,delayed,amd,hyd
1990-09-20,william,abbott,9,136,58,78,on-time,blr,bom
1990-09-21,john,craig,8,212,59,153,delayed,maa,amd
1990-09-22,lauren,rios,9,295,105,190,delayed,bom,ccu
1990-09-23,andrea,harris,6,100,52,48,delayed,bom,ccu
1990-09-24,john,rodriguez,9,176,148,28,on-time,trv,maa
1990-09-25,cassandra,cobb,9,130,49,81,on-time,bom,goi
1990-09-26,krystal,vaughn,7,211,107,104,on-time,trv,del
1990-09-27,paul,lowe,6,179,48,131,on-time,cok,goi
1990-09-28,ruben,hensley,4,64,53,11,on-time,bom,blr
1990-09-29,brandon,carr,8,202,159,43,on-time,cok,trv
1990-09-30,jeremy,rush,9,279,40,239,on-time,trv,ccu
1990-10-01,andrew,castaneda,6,204,151,53,delayed,del,goi
1990-10-02,katie,salazar,4,257,244,13,on-time,bom,trv
1990-10-03,bryan,jones,9,94,35,59,delayed,cok,goi
1990-10-04,kaitlyn,howard,8,183,70,113,on-time,maa,hyd
1990-10-05,eduardo,jones,7,154,129,25,on-time,trv,del
1990-10-06,kimberly,evans,9,215,115,100,delayed,maa,bom
1990-10-07,richard,patterson,8,223,128,95,on-time,hyd,blr
1990-10-08,donna,perez,6,70,67,3,delayed,maa,hyd
1990-10-09,nicole,romero,9,228,199,29,on-time,blr,bom
1990-10-10,jeremy,ponce,6,193,126,67,on-time,blr,trv
1990-10-11,belinda,patel,4,215,201,14,on-time,goi,maa
1990-10-12,andrew,george,4,142,69,73,delayed,ccu,amd
1990-10-13,holly,parker,7,99,58,41,delayed,blr,bom
1990-10-14,brittany,mccarty,6,266,231,35,delayed,goi,trv
1990-10-15,elizabeth,holt,9,276,164,112,delayed,maa,blr
1990-10-16,carmen,oliver,8,146,49,97,delayed,blr,ccu
1990-10-17,jennifer,key,9,162,41,121,on-time,maa,ccu
1990-10-18,robert,jackson,7,206,102,104,on-time,ccu,trv
1990-10-19,cindy,james,5,129,90,39,delayed,maa,goi
1990-10-20,christina,house,7,246,102,144,on-time,goi,trv
1990-10-21,andrew,rivera,7,297,112,185,delayed,trv,blr
1990-10-22,jeffrey,white,6,63,60,3,on-time,goi,bom
1990-10-23,roberto,camacho,9,266,162,104,delayed,hyd,bom
1990-10-24,heather,johnson,5,119,87,32,delayed,amd,bom
1990-10-25,daniel,thomas,5,259,145,114,on-time,del,cok
1990-10-26,michael,macias,4,151,94,57,on-time,ccu,cok
1990-10-27,michael,maynard,4,145,58,87,delayed,maa,bom
1990-10-28,eric,burton,9,216,115,101,delayed,blr,del
1990-10-29,glenn,johnston,6,284,242,42,on-time,blr,goi
1990-10-30,john,nicholson,7,207,31,176,delayed,del,maa
1990-10-31,mark,davis,5,263,68,195,on-time,bom,maa
1990-11-01,ryan,holmes,5,127,45,82,delayed,ccu,cok
1990-11-02,katherine,randolph,9,253,189,64,on-time,bom,blr
1990-11-03,claire,murphy,7,202,167,35,delayed,goi,ccu
1990-11-04,terri,thomas,9,86,48,38,on-time,del,amd
1990-11-05,katie,martinez,5,196,136,60,delayed,bom,trv
1990-11-06,cindy,west,6,67,63,4,delayed,amd,goi
1990-11-07,brandon,holland,4,212,129,83,on-time,hyd,del
1990-11-08,andrew,oconnor,6,251,47,204,on-time,ccu,bom
1990-11-09,colleen,walters,8,238,223,15,on-time,blr,del
1990-11-10,lori,rodriguez,6,189,116,73,delayed,cok,goi
1990-11-11,david,edwards,9,96,47,49,delayed,cok,del
1990-11-12,carl,ayers,6,101,35,66,delayed,del,amd
1990-11-13,david,robinson,6,181,131,50,on-time,hyd,del
1990-11-14,donna,hess,9,98,66,32,on-time,del,amd
1990-11-15,nicole,wilson,6,81,81,0,on-time,amd,cok
1990-11-16,benjamin,reynolds,9,162,128,34,on-time,blr,goi
1990-11-17,april,flores,9,177,124,53,on-time,bom,cok
1990-11-18,joseph,hendricks,4,160,76,84,on-time,maa,bom
1990-11-19,cameron,brown,4,133,114,19,on-time,hyd,goi
1990-11-20,cynthia,jones,8,233,139,94,delayed,cok,maa
1990-11-21,scott,francis,7,60,53,7,on-time,trv,amd
1990-11-22,ethan,willis,6,213,44,169,delayed,amd,maa
1990-11-23,colleen,hall,8,255,221,34,delayed,del,ccu
1990-11-24,brandon,crawford,8,223,142,81,delayed,blr,bom
1990-11-25,karen,smith,5,249,195,54,on-time,maa,cok
1990-11-26,jessica,jones,8,58,49,9,delayed,cok,maa
1990-11-27,melissa,monroe,6,163,49,114,delayed,goi,maa
1990-11-28,gabriel,brown,7,130,113,17,on-time,ccu,bom
1990-11-29,robert,hill,4,238,77,161,on-time,goi,amd
1990-11-30,bryan,barnett,8,80,46,34,on-time,cok,ccu
1990-12-01,ellen,davenport,8,123,118,5,on-time,ccu,bom
1990-12-02,david,kramer,5,268,48,220,on-time,blr,goi
1990-12-03,vicki,johnson,4,257,204,53,on-time,maa,bom
1990-12-04,derek,jackson,8,188,104,84,on-time,blr,ccu
1990-12-05,william,ramirez,6,180,87,93,delayed,ccu,blr
1990-12-06,krista,thomas,5,252,156,96,delayed,maa,trv
1990-12-07,vanessa,beck,8,144,89,55,delayed,trv,bom
1990-12-08,mariah,graves,4,129,80,49,on-time,goi,amd
1990-12-09,timothy,wagner,7,260,177,83,delayed,blr,amd
1990-12-10,samantha,velez,9,68,58,10,on-time,goi,maa
1990-12-11,monica,graves,5,274,242,32,delayed,blr,cok
1990-12-12,marcus,mejia,8,283,252,31,delayed,bom,trv
1990-12-13,juan,nunez,5,127,51,76,delayed,maa,ccu
1990-12-14,darlene,keller,6,292,175,117,delayed,hyd,ccu
1990-12-15,jason,elliott,9,294,170,124,delayed,hyd,trv
1990-12-16,kevin,hudson,4,178,73,105,delayed,blr,amd
1990-12-17,jessica,mann,8,60,56,4,delayed,bom,del
1990-12-18,rebecca,jones,9,247,177,70,on-time,ccu,cok
1990-12-19,jenna,adams,8,213,37,176,on-time,goi,hyd
1990-12-20,cynthia,powers,9,294,184,110,on-time,ccu,cok
1990-12-21,kevin,espinoza,6,166,48,118,delayed,blr,goi
1990-12-22,brandy,moran,7,173,148,25,delayed,maa,blr
1990-12-23,jesse,williams,6,270,213,57,on-time,maa,cok
1990-12-24,john,parks,5,244,124,120,delayed,maa,ccu
1990-12-25,destiny,cardenas,7,81,47,34,on-time,ccu,blr
1990-12-26,christina,davis,4,62,48,14,on-time,trv,amd
1990-12-27,lisa,bruce,5,296,111,185,on-time,trv,maa
1990-12-28,hector,holmes,5,245,70,175,on-time,goi,cok
1990-12-29,natasha,keith,7,275,108,167,on-time,del,blr
1990-12-30,sheri,wu,7,179,147,32,delayed,ccu,amd
1990-12-31,andrew,castro,4,62,48,14,on-time,trv,cok
1991-01-01,sarah,anderson,6,187,32,155,delayed,amd,blr
1991-01-02,victoria,caldwell,6,236,123,113,on-time,maa,del
1991-01-03,alexander,hughes,7,63,42,21,on-time,goi,hyd
1991-01-04,tracy,smith,4,148,94,54,on-time,goi,hyd
1991-01-05,peter,walker,8,224,186,38,delayed,blr,bom
1991-01-06,jack,wolf,7,145,131,14,on-time,goi,maa
1991-01-07,nicholas,brown,5,100,95,5,on-time,goi,del
1991-01-08,lori,quinn,4,59,34,25,on-time,cok,trv
1991-01-09,sharon,ortiz,7,88,68,20,delayed,maa,amd
1991-01-10,jonathan,duncan,5,150,108,42,on-time,trv,maa
1991-01-11,jose,roberts,8,262,160,102,on-time,trv,hyd
1991-01-12,david,reynolds,7,258,34,224,on-time,maa,bom
1991-01-13,elizabeth,cooper,7,199,108,91,delayed,trv,cok
1991-01-14,james,erickson,6,297,146,151,delayed,trv,cok
1991-01-15,angela,patrick,5,184,127,57,delayed,ccu,del
1991-01-16,kristen,sullivan,8,292,86,206,delayed,del,goi
1991-01-17,matthew,randall,6,157,68,89,on-time,ccu,cok
1991-01-18,tina,walker,8,248,186,62,on-time,del,ccu
1991-01-19,jeffrey,smith,8,103,101,2,on-time,cok,trv
1991-01-20,glenn,perez,7,130,52,78,on-time,goi,maa
1991-01-21,brianna,williams,8,140,116,24,on-time,trv,cok
1991-01-22,charles,woods,5,295,156,139,on-time,goi,hyd
1991-01-23,nancy,hill,5,291,182,109,on-time,ccu,goi
1991-01-24,linda,morris,6,172,119,53,on-time,hyd,bom
1991-01-25,michael,hicks,8,223,169,54,on-time,amd,maa
1991-01-26,kim,wells,5,124,35,89,on-time,bom,amd
1991-01-27,robert,mueller,7,217,95,122,on-time,ccu,hyd
1991-01-28,joseph,mendoza,8,119,101,18,on-time,blr,bom
1991-01-29,william,brandt,8,239,180,59,delayed,ccu,del
1991-01-30,george,joyce,9,281,165,116,delayed,ccu,del
1991-01-31,logan,mercer,4,155,72,83,on-time,bom,ccu
1991-02-01,erica,russell,4,296,110,186,on-time,cok,goi
1991-02-02,ian,austin,9,101,66,35,on-time,hyd,del
1991-02-03,ricky,green,4,216,176,40,delayed,goi,del
1991-02-04,courtney,todd,5,156,142,14,delayed,del,cok
1991-02-05,kimberly,cook,7,97,67,30,delayed,del,maa
1991-02-06,nathaniel,benitez,8,204,57,147,on-time,hyd,goi
1991-02-07,jessica,gordon,9,189,164,25,on-time,blr,trv
1991-02-08,nicole,moore,7,119,54,65,delayed,maa,blr
1991-02-09,gloria,west,9,167,95,72,delayed,del,amd
1991-02-10,jessica,griffin,6,195,79,116,delayed,trv,amd
1991-02-11,bobby,byrd,7,181,113,68,delayed,amd,bom
1991-02-12,patricia,tran,5,85,60,25,on-time,ccu,del
1991-02-13,madeline,mcbride,6,148,60,88,on-time,hyd,amd
1991-02-14,kyle,arias,6,199,176,23,delayed,hyd,amd
1991-02-15,justin,perez,9,110,37,73,delayed,cok,hyd
1991-02-16,jennifer,costa,5,153,117,36,on-time,bom,maa
1991-02-17,kimberly,sullivan,6,207,86,121,delayed,blr,goi
1991-02-18,john,banks,5,166,125,41,on-time,goi,cok
1991-02-19,scott,maddox,8,255,200,55,delayed,ccu,bom
1991-02-20,jeremy,diaz,8,164,122,42,delayed,trv,bom
1991-02-21,karen,garrett,4,262,170,92,delayed,trv,goi
1991-02-22,erica,miller,5,92,50,42,on-time,bom,hyd
1991-02-23,brandy,dominguez,9,199,155,44,delayed,goi,cok
1991-02-24,john,fisher,4,166,63,103,on-time,cok,del
1991-02-25,kendra,lowe,8,168,108,60,delayed,amd,hyd
1991-02-26,brian,swanson,4,240,85,155,delayed,del,cok
1991-02-27,cristina,rose,6,229,46,183,delayed,bom,goi
1991-02-28,james,wood,4,123,82,41,delayed,blr,cok
1991-03-01,cynthia,hill,6,278,127,151,on-time,amd,cok
1991-03-02,james,johnson,4,224,199,25,delayed,maa,bom
