date,firstname,lastname,flyinghours,numberofpassengers,ticketsold,seatsvacant,delaystatus,flightsource,flightdestination
1995-04-08,michael,calderon,9,111,65,46,on-time,bom,maa
1995-04-09,caroline,gould,5,119,72,47,on-time,goi,bom
1995-04-10,laura,anderson,5,88,44,44,on-time,blr,hyd
1995-04-11,kristi,lee,4,156,82,74,on-time,goi,cok
1995-04-12,joseph,brown,7,65,43,22,on-time,amd,del
1995-04-13,michael,bennett,8,147,91,56,delayed,maa,hyd
1995-04-14,anna,mclaughlin,7,268,258,10,on-time,goi,trv
1995-04-15,jessica,green,8,279,86,193,on-time,ccu,maa
1995-04-16,justin,crawford,7,174,37,137,on-time,maa,cok
1995-04-17,steven,clark,9,92,83,9,on-time,blr,trv
1995-04-18,allen,robertson,4,282,130,152,delayed,bom,cok
1995-04-19,william,terry,5,271,148,123,delayed,del,maa
1995-04-20,shawn,scott,7,133,57,76,on-time,maa,amd
1995-04-21,jacob,wright,7,121,83,38,on-time,bom,goi
1995-04-22,jennifer,adams,4,241,168,73,delayed,maa,ccu
1995-04-23,david,kennedy,9,67,32,35,delayed,ccu,hyd
1995-04-24,cindy,huff,4,209,69,140,delayed,blr,goi
1995-04-25,gary,evans,9,79,66,13,delayed,cok,hyd
1995-04-26,melissa,clarke,6,92,68,24,delayed,blr,maa
1995-04-27,wanda,leach,4,198,36,162,on-time,trv,amd
1995-04-28,jill,wilcox,7,291,131,160,delayed,trv,ccu
1995-04-29,beverly,gray,4,228,227,1,on-time,trv,bom
1995-04-30,james,snyder,8,250,40,210,on-time,goi,amd
1995-05-01,haley,cunningham,9,144,38,106,on-time,del,cok
1995-05-02,ashley,salazar,7,77,57,20,on-time,cok,blr
1995-05-03,timothy,robinson,7,95,64,31,on-time,cok,amd
1995-05-04,kristy,brown,9,201,98,103,on-time,ccu,bom
1995-05-05,amber,oconnell,6,275,145,130,delayed,cok,amd
1995-05-06,jeremy,adams,6,57,45,12,on-time,blr,goi
1995-05-07,brittany,houston,5,140,132,8,on-time,maa,hyd
1995-05-08,jessica,mcknight,8,229,100,129,delayed,goi,ccu
1995-05-09,john,salazar,4,111,82,29,on-time,goi,ccu
1995-05-10,nathaniel,montgomery,9,171,155,16,on-time,del,blr
1995-05-11,jared,fletcher,6,106,81,25,delayed,hyd,amd
1995-05-12,cynthia,dunn,7,191,165,26,on-time,amd,trv
1995-05-13,margaret,saunders,6,140,119,21,on-time,hyd,maa
1995-05-14,kelly,patrick,6,109,45,64,delayed,maa,bom
1995-05-15,derek,medina,9,187,77,110,delayed,ccu,goi
1995-05-16,jane,brown,6,235,180,55,on-time,bom,hyd
1995-05-17,amy,morse,6,108,76,32,delayed,hyd,del
1995-05-18,jessica,rodriguez,9,186,62,124,on-time,del,bom
1995-05-19,desiree,steele,8,124,119,5,delayed,cok,bom
1995-05-20,katherine,dawson,4,196,102,94,on-time,cok,goi
1995-05-21,april,barnes,6,97,36,61,on-time,cok,bom
1995-05-22,zachary,mayer,4,152,92,60,delayed,trv,del
1995-05-23,joshua,anderson,5,88,81,7,on-time,bom,hyd
1995-05-24,kimberly,williams,4,192,136,56,delayed,goi,amd
1995-05-25,shannon,hernandez,7,282,143,139,on-time,trv,amd
1995-05-26,rachel,fletcher,6,195,188,7,delayed,trv,bom
1995-05-27,jose,combs,5,210,84,126,on-time,bom,ccu
1995-05-28,william,jackson,5,94,39,55,delayed,del,cok
1995-05-29,dawn,nielsen,7,226,182,44,on-time,hyd,del
1995-05-30,christian,smith,5,123,120,3,on-time,cok,bom
1995-05-31,ryan,thomas,9,109,63,46,delayed,amd,bom
1995-06-01,douglas,michael,8,107,49,58,on-time,blr,bom
1995-06-02,megan,cabrera,4,92,80,12,on-time,trv,hyd
1995-06-03,renee,cabrera,7,81,59,22,on-time,amd,hyd
1995-06-04,kaitlyn,estrada,8,188,156,32,on-time,bom,del
1995-06-05,mike,brown,7,238,112,126,on-time,del,blr
1995-06-06,lisa,santos,5,296,40,256,on-time,trv,del
1995-06-07,stephen,farley,5,170,162,8,on-time,hyd,blr
1995-06-08,barbara,mcgrath,8,161,155,6,delayed,cok,maa
1995-06-09,michael,baldwin,7,135,71,64,delayed,blr,amd
1995-06-10,benjamin,espinoza,7,227,156,71,on-time,amd,trv
1995-06-11,philip,jimenez,4,166,52,114,on-time,hyd,amd
1995-06-12,kelli,rhodes,4,298,236,62,delayed,goi,cok
1995-06-13,george,thomas,7,63,42,21,on-time,trv,cok
1995-06-14,sarah,lee,9,163,43,120,delayed,hyd,trv
1995-06-15,ann,king,5,287,177,110,on-time,cok,bom
1995-06-16,jessica,lamb,4,299,152,147,delayed,hyd,trv
1995-06-17,barbara,martinez,4,191,134,57,delayed,ccu,bom
1995-06-18,kevin,walker,7,292,90,202,delayed,cok,hyd
1995-06-19,cole,black,8,230,99,131,on-time,cok,goi
1995-06-20,roberto,cordova,5,166,67,99,on-time,ccu,trv
1995-06-21,mary,byrd,9,275,64,211,delayed,hyd,cok
1995-06-22,christopher,gilmore,6,289,289,0,on-time,del,maa
1995-06-23,james,roberts,9,126,105,21,on-time,blr,goi
1995-06-24,kenneth,reynolds,8,173,118,55,on-time,goi,trv
1995-06-25,taylor,stephenson,7,166,112,54,delayed,ccu,cok
1995-06-26,kimberly,thomas,5,269,228,41,on-time,del,amd
1995-06-27,ashley,taylor,9,171,127,44,on-time,blr,goi
1995-06-28,benjamin,cain,4,82,62,20,on-time,bom,goi
1995-06-29,james,craig,4,184,146,38,delayed,blr,cok
1995-06-30,gina,bridges,9,298,109,189,delayed,cok,hyd
1995-07-01,susan,wallace,6,209,207,2,on-time,bom,amd
1995-07-02,tony,chen,9,269,166,103,on-time,maa,goi
1995-07-03,kelly,oconnell,8,59,49,10,delayed,ccu,maa
1995-07-04,ashley,thomas,5,241,53,188,on-time,bom,blr
1995-07-05,eric,larson,7,92,74,18,on-time,del,bom
1995-07-06,lisa,smith,6,253,44,209,on-time,maa,amd
1995-07-07,william,wong,7,87,45,42,on-time,trv,blr
1995-07-08,jennifer,carey,5,94,40,54,on-time,trv,ccu
1995-07-09,julie,montoya,7,283,179,104,delayed,ccu,goi
1995-07-10,mitchell,roberts,9,115,88,27,on-time,del,goi
1995-07-11,denise,kelley,6,223,169,54,delayed,bom,goi
1995-07-12,charles,green,6,200,106,94,on-time,hyd,goi
1995-07-13,pamela,patrick,6,100,79,21,on-time,bom,hyd
1995-07-14,jennifer,hebert,7,196,121,75,on-time,hyd,del
1995-07-15,roberto,patterson,9,151,65,86,delayed,trv,del
1995-07-16,darryl,bauer,8,240,157,83,on-time,ccu,amd
1995-07-17,olivia,case,5,212,78,134,on-time,blr,bom
1995-07-18,elijah,delgado,9,215,40,175,on-time,cok,del
1995-07-19,jennifer,hernandez,8,143,123,20,delayed,bom,maa
1995-07-20,joseph,thompson,6,241,136,105,delayed,ccu,blr
1995-07-21,andrew,price,8,274,123,151,on-time,blr,maa
1995-07-22,stephanie,mcclain,7,297,181,116,on-time,bom,goi
1995-07-23,daniel,johnson,4,86,78,8,delayed,amd,trv
1995-07-24,leah,bradley,6,73,55,18,delayed,hyd,trv
1995-07-25,angela,barker,4,166,124,42,on-time,trv,amd
1995-07-26,amy,ford,9,290,220,70,delayed,ccu,goi
1995-07-27,susan,gilmore,4,208,173,35,on-time,trv,ccu
1995-07-28,mitchell,garcia,9,66,59,7,on-time,amd,bom
1995-07-29,robert,wagner,5,61,32,29,on-time,cok,bom
1995-07-30,george,daniel,4,110,98,12,delayed,amd,goi
1995-07-31,gregory,wolfe,6,221,220,1,on-time,trv,blr
1995-08-01,april,gonzalez,7,217,55,162,on-time,trv,amd
1995-08-02,james,anderson,6,58,52,6,on-time,ccu,goi
1995-08-03,christopher,davis,7,293,150,143,on-time,bom,amd
1995-08-04,deanna,randall,8,280,280,0,on-time,del,cok
1995-08-05,jessica,farmer,6,98,45,53,on-time,bom,hyd
1995-08-06,desiree,hart,9,213,182,31,delayed,del,amd
1995-08-07,james,wilcox,5,82,80,2,delayed,bom,trv
1995-08-08,omar,tyler,5,200,85,115,delayed,maa,blr
1995-08-09,timothy,vaughn,8,50,38,12,delayed,blr,trv
1995-08-10,taylor,chen,6,254,74,180,delayed,del,ccu
1995-08-11,adriana,torres,4,141,131,10,delayed,trv,maa
1995-08-12,sarah,wheeler,4,94,63,31,delayed,blr,cok
1995-08-13,briana,castro,8,79,77,2,delayed,cok,goi
1995-08-14,bethany,campbell,6,181,181,0,delayed,cok,trv
1995-08-15,heather,cisneros,5,292,52,240,on-time,cok,del
1995-08-16,janice,sims,4,172,132,40,on-time,bom,goi
1995-08-17,cory,boyd,9,282,143,139,delayed,bom,amd
1995-08-18,mark,mcintosh,8,87,34,53,delayed,hyd,trv
1995-08-19,miguel,brown,9,133,78,55,on-time,cok,trv
1995-08-20,joshua,flynn,8,160,55,105,delayed,goi,ccu
1995-08-21,david,perez,7,165,88,77,on-time,maa,goi
1995-08-22,amanda,garcia,7,156,123,33,delayed,maa,cok
1995-08-23,christopher,marshall,6,220,95,125,on-time,blr,goi
1995-08-24,donald,lawrence,4,73,35,38,delayed,amd,bom
1995-08-25,james,hart,9,239,125,114,delayed,goi,del
1995-08-26,kaitlyn,johnson,8,294,198,96,delayed,amd,maa
1995-08-27,amber,aguirre,9,290,246,44,delayed,hyd,maa
1995-08-28,david,kelley,6,76,66,10,delayed,blr,goi
1995-08-29,lisa,becker,5,266,57,209,on-time,goi,maa
1995-08-30,shannon,brown,4,245,101,144,delayed,amd,trv
1995-08-31,kurt,west,8,207,202,5,delayed,trv,hyd
1995-09-01,jacqueline,moreno,4,96,64,32,on-time,maa,amd
1995-09-02,april,ruiz,4,96,48,48,on-time,bom,ccu
1995-09-03,deborah,arnold,9,212,37,175,delayed,goi,ccu
1995-09-04,carlos,bridges,7,157,146,11,on-time,blr,amd
1995-09-05,willie,wood,6,234,113,121,delayed,del,ccu
1995-09-06,juan,williams,5,243,188,55,delayed,bom,maa
1995-09-07,megan,thomas,7,219,138,81,on-time,trv,cok
1995-09-08,stephen,watson,7,119,57,62,delayed,maa,cok
1995-09-09,diana,cunningham,4,122,116,6,on-time,goi,hyd
1995-09-10,matthew,clark,4,106,80,26,delayed,del,hyd
1995-09-11,elizabeth,simmons,6,292,138,154,delayed,hyd,maa
1995-09-12,sarah,garrison,6,80,30,50,on-time,amd,blr
1995-09-13,sharon,munoz,5,147,98,49,delayed,goi,trv
1995-09-14,william,ryan,9,256,120,136,delayed,amd,del
1995-09-15,kristine,espinoza,7,54,44,10,delayed,maa,cok
1995-09-16,mark,thompson,8,153,120,33,on-time,hyd,bom
1995-09-17,paul,leonard,7,55,40,15,delayed,trv,cok
1995-09-18,todd,long,9,285,215,70,delayed,amd,bom
1995-09-19,henry,foster,5,161,132,29,delayed,amd,hyd
1995-09-20,austin,phillips,9,136,58,78,on-time,blr,bom
1995-09-21,claudia,gonzales,8,212,59,153,delayed,maa,amd
1995-09-22,keith,key,9,295,105,190,delayed,bom,ccu
1995-09-23,amy,davis,6,100,52,48,delayed,bom,ccu
1995-09-24,sharon,campbell,9,176,148,28,on-time,trv,maa
1995-09-25,patrick,mitchell,9,130,49,81,on-time,bom,goi
1995-09-26,brandon,bauer,7,211,107,104,on-time,trv,del
1995-09-27,heather,rodriguez,6,179,48,131,on-time,cok,goi
1995-09-28,chase,rojas,4,64,53,11,on-time,bom,blr
1995-09-29,jonathan,rivera,8,202,159,43,on-time,cok,trv
1995-09-30,julie,miller,9,279,40,239,on-time,trv,ccu
1995-10-01,justin,harris,6,204,151,53,delayed,del,goi
1995-10-02,brandon,chapman,4,257,244,13,on-time,bom,trv
1995-10-03,steven,roberts,9,94,35,59,delayed,cok,goi
1995-10-04,juan,ward,8,183,70,113,on-time,maa,hyd
1995-10-05,brian,walton,7,154,129,25,on-time,trv,del
1995-10-06,timothy,hicks,9,215,115,100,delayed,maa,bom
1995-10-07,adriana,rocha,8,223,128,95,on-time,hyd,blr
1995-10-08,daniel,holmes,6,70,67,3,delayed,maa,hyd
1995-10-09,james,shaffer,9,228,199,29,on-time,blr,bom
1995-10-10,danielle,roberts,6,193,126,67,on-time,blr,trv
1995-10-11,luke,garza,4,215,201,14,on-time,goi,maa
1995-10-12,ashley,gutierrez,4,142,69,73,delayed,ccu,amd
1995-10-13,martin,garcia,7,99,58,41,delayed,blr,bom
1995-10-14,brett,luna,6,266,231,35,delayed,goi,trv
1995-10-15,juan,miller,9,276,164,112,delayed,maa,blr
1995-10-16,shannon,martinez,8,146,49,97,delayed,blr,ccu
1995-10-17,carol,anthony,9,162,41,121,on-time,maa,ccu
1995-10-18,cheryl,sparks,7,206,102,104,on-time,ccu,trv
1995-10-19,jose,porter,5,129,90,39,delayed,maa,goi
1995-10-20,gina,vaughn,7,246,102,144,on-time,goi,trv
1995-10-21,michael,joseph,7,297,112,185,delayed,trv,blr
1995-10-22,deborah,brooks,6,63,60,3,on-time,goi,bom
1995-10-23,steven,ray,9,266,162,104,delayed,hyd,bom
1995-10-24,jennifer,wood,5,119,87,32,delayed,amd,bom
1995-10-25,amy,mueller,5,259,145,114,on-time,del,cok
1995-10-26,jennifer,lane,4,151,94,57,on-time,ccu,cok
1995-10-27,bradley,patel,4,145,58,87,delayed,maa,bom
1995-10-28,michelle,wallace,9,216,115,101,delayed,blr,del
1995-10-29,steven,patterson,6,284,242,42,on-time,blr,goi
1995-10-30,tamara,hall,7,207,31,176,delayed,del,maa
1995-10-31,stephen,suarez,5,263,68,195,on-time,bom,maa
1995-11-01,connie,reynolds,5,127,45,82,delayed,ccu,cok
1995-11-02,donald,rios,9,253,189,64,on-time,bom,blr
1995-11-03,kristina,holmes,7,202,167,35,delayed,goi,ccu
1995-11-04,richard,miller,9,86,48,38,on-time,del,amd
1995-11-05,adam,gomez,5,196,136,60,delayed,bom,trv
1995-11-06,jennifer,wright,6,67,63,4,delayed,amd,goi
1995-11-07,edwin,sandoval,4,212,129,83,on-time,hyd,del
1995-11-08,brian,cabrera,6,251,47,204,on-time,ccu,bom
1995-11-09,john,trevino,8,238,223,15,on-time,blr,del
1995-11-10,william,gonzales,6,189,116,73,delayed,cok,goi
1995-11-11,roger,nelson,9,96,47,49,delayed,cok,del
1995-11-12,alicia,jones,6,101,35,66,delayed,del,amd
1995-11-13,jessica,thompson,6,181,131,50,on-time,hyd,del
1995-11-14,sergio,meyer,9,98,66,32,on-time,del,amd
1995-11-15,patrick,alexander,6,81,81,0,on-time,amd,cok
1995-11-16,ashley,smith,9,162,128,34,on-time,blr,goi
1995-11-17,joshua,wright,9,177,124,53,on-time,bom,cok
1995-11-18,joseph,smith,4,160,76,84,on-time,maa,bom
1995-11-19,megan,ayers,4,133,114,19,on-time,hyd,goi
1995-11-20,willie,butler,8,233,139,94,delayed,cok,maa
1995-11-21,anna,perkins,7,60,53,7,on-time,trv,amd
1995-11-22,brian,love,6,213,44,169,delayed,amd,maa
1995-11-23,lisa,jones,8,255,221,34,delayed,del,ccu
1995-11-24,melvin,obrien,8,223,142,81,delayed,blr,bom
1995-11-25,andrea,chavez,5,249,195,54,on-time,maa,cok
1995-11-26,timothy,green,8,58,49,9,delayed,cok,maa
1995-11-27,teresa,harris,6,163,49,114,delayed,goi,maa
1995-11-28,rachel,henderson,7,130,113,17,on-time,ccu,bom
1995-11-29,michelle,donovan,4,238,77,161,on-time,goi,amd
1995-11-30,thomas,stone,8,80,46,34,on-time,cok,ccu
1995-12-01,phillip,taylor,8,123,118,5,on-time,ccu,bom
1995-12-02,mary,james,5,268,48,220,on-time,blr,goi
1995-12-03,roy,baird,4,257,204,53,on-time,maa,bom
1995-12-04,keith,vasquez,8,188,104,84,on-time,blr,ccu
1995-12-05,christopher,brown,6,180,87,93,delayed,ccu,blr
1995-12-06,darren,gonzales,5,252,156,96,delayed,maa,trv
1995-12-07,dawn,banks,8,144,89,55,delayed,trv,bom
1995-12-08,matthew,kirby,4,129,80,49,on-time,goi,amd
1995-12-09,anthony,lee,7,260,177,83,delayed,blr,amd
1995-12-10,manuel,anderson,9,68,58,10,on-time,goi,maa
1995-12-11,melissa,barajas,5,274,242,32,delayed,blr,cok
1995-12-12,roy,munoz,8,283,252,31,delayed,bom,trv
1995-12-13,johnny,cortez,5,127,51,76,delayed,maa,ccu
1995-12-14,victoria,smith,6,292,175,117,delayed,hyd,ccu
1995-12-15,ashley,nguyen,9,294,170,124,delayed,hyd,trv
1995-12-16,leah,stanley,4,178,73,105,delayed,blr,amd
1995-12-17,sergio,williams,8,60,56,4,delayed,bom,del
1995-12-18,tina,harris,9,247,177,70,on-time,ccu,cok
1995-12-19,jeffrey,brennan,8,213,37,176,on-time,goi,hyd
1995-12-20,scott,smith,9,294,184,110,on-time,ccu,cok
1995-12-21,katherine,wells,6,166,48,118,delayed,blr,goi
1995-12-22,dawn,macdonald,7,173,148,25,delayed,maa,blr
1995-12-23,justin,griffin,6,270,213,57,on-time,maa,cok
1995-12-24,kenneth,gray,5,244,124,120,delayed,maa,ccu
1995-12-25,bryan,nelson,7,81,47,34,on-time,ccu,blr
1995-12-26,jessica,collins,4,62,48,14,on-time,trv,amd
1995-12-27,janet,dixon,5,296,111,185,on-time,trv,maa
1995-12-28,kenneth,cordova,5,245,70,175,on-time,goi,cok
1995-12-29,andrew,wilson,7,275,108,167,on-time,del,blr
1995-12-30,andrea,molina,7,179,147,32,delayed,ccu,amd
1995-12-31,kristin,diaz,4,62,48,14,on-time,trv,cok
1996-01-01,randy,kent,6,187,32,155,delayed,amd,blr
1996-01-02,jason,gray,6,236,123,113,on-time,maa,del
1996-01-03,tony,rodgers,7,63,42,21,on-time,goi,hyd
1996-01-04,andrea,larson,4,148,94,54,on-time,goi,hyd
1996-01-05,darryl,silva,8,224,186,38,delayed,blr,bom
1996-01-06,richard,olson,7,145,131,14,on-time,goi,maa
1996-01-07,jonathan,klein,5,100,95,5,on-time,goi,del
1996-01-08,matthew,neal,4,59,34,25,on-time,cok,trv
1996-01-09,kevin,simmons,7,88,68,20,delayed,maa,amd
1996-01-10,belinda,robinson,5,150,108,42,on-time,trv,maa
1996-01-11,mary,ramirez,8,262,160,102,on-time,trv,hyd
1996-01-12,debra,murphy,7,258,34,224,on-time,maa,bom
1996-01-13,paula,ortiz,7,199,108,91,delayed,trv,cok
1996-01-14,ruth,dennis,6,297,146,151,delayed,trv,cok
1996-01-15,sabrina,jones,5,184,127,57,delayed,ccu,del
1996-01-16,theresa,johnson,8,292,86,206,delayed,del,goi
1996-01-17,kimberly,evans,6,157,68,89,on-time,ccu,cok
1996-01-18,brittney,richard,8,248,186,62,on-time,del,ccu
1996-01-19,stephen,norris,8,103,101,2,on-time,cok,trv
1996-01-20,andrea,mullins,7,130,52,78,on-time,goi,maa
1996-01-21,marissa,matthews,8,140,116,24,on-time,trv,cok
1996-01-22,nicole,clark,5,295,156,139,on-time,goi,hyd
1996-01-23,taylor,hardin,5,291,182,109,on-time,ccu,goi
1996-01-24,keith,allison,6,172,119,53,on-time,hyd,bom
1996-01-25,michael,jackson,8,223,169,54,on-time,amd,maa
1996-01-26,wayne,griffin,5,124,35,89,on-time,bom,amd
1996-01-27,robert,myers,7,217,95,122,on-time,ccu,hyd
1996-01-28,craig,lopez,8,119,101,18,on-time,blr,bom
1996-01-29,rachel,hill,8,239,180,59,delayed,ccu,del
1996-01-30,katherine,mitchell,9,281,165,116,delayed,ccu,del
1996-01-31,terri,bautista,4,155,72,83,on-time,bom,ccu
1996-02-01,daniel,powell,4,296,110,186,on-time,cok,goi
1996-02-02,jessica,mays,9,101,66,35,on-time,hyd,del
1996-02-03,glenda,jackson,4,216,176,40,delayed,goi,del
1996-02-04,dana,harris,5,156,142,14,delayed,del,cok
1996-02-05,ebony,brennan,7,97,67,30,delayed,del,maa
1996-02-06,patricia,zuniga,8,204,57,147,on-time,hyd,goi
1996-02-07,rebecca,bautista,9,189,164,25,on-time,blr,trv
1996-02-08,andrew,stephens,7,119,54,65,delayed,maa,blr
1996-02-09,karen,carpenter,9,167,95,72,delayed,del,amd
1996-02-10,william,hill,6,195,79,116,delayed,trv,amd
1996-02-11,renee,johnston,7,181,113,68,delayed,amd,bom
1996-02-12,melanie,roberts,5,85,60,25,on-time,ccu,del
1996-02-13,wayne,hernandez,6,148,60,88,on-time,hyd,amd
1996-02-14,misty,george,6,199,176,23,delayed,hyd,amd
1996-02-15,eric,edwards,9,110,37,73,delayed,cok,hyd
1996-02-16,jeffrey,trujillo,5,153,117,36,on-time,bom,maa
1996-02-17,jeremy,flores,6,207,86,121,delayed,blr,goi
1996-02-18,bradley,stevenson,5,166,125,41,on-time,goi,cok
1996-02-19,lisa,rose,8,255,200,55,delayed,ccu,bom
1996-02-20,elizabeth,kidd,8,164,122,42,delayed,trv,bom
1996-02-21,james,hunter,4,262,170,92,delayed,trv,goi
1996-02-22,melissa,knight,5,92,50,42,on-time,bom,hyd
1996-02-23,randy,hill,9,199,155,44,delayed,goi,cok
1996-02-24,brian,tate,4,166,63,103,on-time,cok,del
1996-02-25,linda,sullivan,8,168,108,60,delayed,amd,hyd
1996-02-26,leon,wright,4,240,85,155,delayed,del,cok
1996-02-27,jessica,leon,6,229,46,183,delayed,bom,goi
1996-02-28,nicholas,mcbride,4,123,82,41,delayed,blr,cok
1996-02-29,kelly,sherman,6,278,127,151,on-time,amd,cok
